pattern,density,concurrency,metric,n_rest,n_graphql,median_rest,median_graphql,mwu_U,p_raw,cliffs_delta,magnitude,favored,p_bh,significant_bh
filtered,medium,100,throughput_rps,30,30,386.915883185647,107.70055327602884,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,high,10,throughput_rps,30,30,270.0633212206506,100.32975932320767,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,high,50,throughput_rps,30,30,267.14287997330484,99.35012799844228,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,high,100,throughput_rps,30,30,253.82351450470298,96.3577566084845,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,low,10,throughput_rps,30,30,579.3549773238326,143.89180016247803,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,low,50,throughput_rps,30,30,541.2341662841898,140.24752981317914,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,low,100,throughput_rps,30,30,517.4892603283265,136.04432202725474,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,medium,10,throughput_rps,30,30,386.0981616106342,121.42036855072877,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,medium,50,throughput_rps,30,30,367.97698077254313,119.15623857610659,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,medium,100,throughput_rps,30,30,351.7043120953174,115.53419456863404,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,high,10,payload_bytes_med,30,30,296.0,319.0,0.0,1.685298194892643e-14,-1.0,large,rest,2.0223578338711716e-13,True
aggregate,high,50,payload_bytes_med,30,30,296.0,319.0,0.0,1.685298194892643e-14,-1.0,large,rest,2.0223578338711716e-13,True
aggregate,high,100,payload_bytes_med,30,30,296.0,319.0,0.0,1.685298194892643e-14,-1.0,large,rest,2.0223578338711716e-13,True
aggregate,low,10,payload_bytes_med,30,30,191.0,214.0,0.0,3.691540861138807e-13,-1.0,large,rest,2.6519643327958134e-12,True
aggregate,low,50,payload_bytes_med,30,30,191.0,214.0,0.0,3.366078050685465e-13,-1.0,large,rest,2.6519643327958134e-12,True
aggregate,low,100,payload_bytes_med,30,30,191.0,214.0,0.0,4.419940554659689e-13,-1.0,large,rest,2.6519643327958134e-12,True
aggregate,medium,10,payload_bytes_med,30,30,287.0,310.0,0.0,2.0868954135578643e-12,-1.0,large,rest,9.39102936101039e-12,True
aggregate,medium,50,payload_bytes_med,30,30,287.0,310.0,0.0,5.587220013256866e-12,-1.0,large,rest,1.8285447316113382e-11,True
aggregate,medium,100,payload_bytes_med,30,30,287.0,310.0,0.0,5.475127493578197e-12,-1.0,large,rest,1.8285447316113382e-11,True
baseline,high,10,payload_bytes_med,30,30,9261.0,9291.0,125.0,4.349166422986011e-07,-0.7222222222222222,large,rest,6.021922739519092e-07,True
