caching,access_pattern,payload_weight,entropy,network,density,concurrency,page_size,metric,group_a,group_b,n1,n2,u_stat,p_value,a12,cliffs_delta,magnitude,rest_median,graphql_median,p_value_holm
off,uniform,light,medium,constrained,medium,10,0,rss_mean_mb,rest,graphql,30,30,0.0,2.0401898418474154e-11,0.0,-1.0,large,49.21839823220259,59.46,9.155029120720218e-11
off,unique,heavy,medium,constrained,medium,10,0,rss_mean_mb,rest,graphql,30,30,0.0,6.350519545849681e-12,0.0,-1.0,large,49.01,59.51,5.7154675912647125e-11
off,unique,light,medium,constrained,medium,10,0,rss_mean_mb,rest,graphql,30,30,0.0,2.366180133011446e-11,0.0,-1.0,large,49.41,59.49,9.155029120720218e-11
off,zipfian,heavy,medium,constrained,medium,10,0,rss_mean_mb,rest,graphql,30,30,0.0,7.295740103487508e-12,0.0,-1.0,large,49.43,59.44,5.836592082790006e-11
off,zipfian,light,medium,constrained,medium,10,0,rss_mean_mb,rest,graphql,30,30,0.0,1.8310058241440437e-11,0.0,-1.0,large,49.41,59.6,9.155029120720218e-11
on,uniform,heavy,medium,constrained,medium,10,0,rss_mean_mb,rest,graphql,30,30,0.0,2.4089559416690823e-11,0.0,-1.0,large,48.7810290253225,59.7,9.155029120720218e-11
on,uniform,light,medium,constrained,medium,10,0,rss_mean_mb,rest,graphql,30,30,0.0,7.649195118962854e-12,0.0,-1.0,large,49.03230769230769,59.42,5.836592082790006e-11
on,unique,heavy,medium,constrained,medium,10,0,rss_mean_mb,rest,graphql,30,30,0.0,2.132013568869212e-11,0.0,-1.0,large,48.841493961352654,59.65,9.155029120720218e-11
on,unique,light,medium,constrained,medium,10,0,rss_mean_mb,rest,graphql,30,30,0.0,1.7325937859235046e-12,0.0,-1.0,large,49.54,59.41,1.7325937859235044e-11
on,zipfian,heavy,medium,constrained,medium,10,0,rss_mean_mb,rest,graphql,30,30,0.0,6.754824364336808e-13,0.0,-1.0,large,49.56,59.43,8.105789237204171e-12
on,zipfian,light,medium,constrained,medium,10,0,rss_mean_mb,rest,graphql,30,30,0.0,1.4430494077734852e-11,0.0,-1.0,large,49.46,59.38,8.658296446640911e-11
