run_uid,block_id,protocol,pattern,density,concurrency,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,xproc_p95,xproc_med,error_rate,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,notes
82e3174fcc6a,B0030,rest,aggregate,medium,10,25,run-sesi-1,1781999346.625,1781999406.995,13.927619,18.657892999999998,23.17150059999999,686.3119314624392,287,0.014090799999999995,0.009828,0,106.015,107.9,64.96,64.96,41185,
9a661f707bf3,B0030,rest,aggregate,medium,10,26,run-sesi-1,1781999407.007,1781999467.373,13.9226985,18.454482999999996,22.43111337,688.1149374011252,287,0.013911,0.009813,0,105.74666666666667,108.0,64.96,64.96,41294,
618417cc598b,B0030,rest,aggregate,medium,10,27,run-sesi-1,1781999467.385,1781999527.763,14.254573,18.653765699999997,22.81442062000006,672.1913589269543,287,0.014040199999999997,0.010014,0,105.46557377049182,107.9,64.96,64.96,40339,
5d1b211e3788,B0030,rest,aggregate,medium,10,28,run-sesi-1,1781999527.776,1781999588.115,14.0271095,18.423046550000002,22.399093820000004,681.878440142722,287,0.013794150000000002,0.009808,0,106.18833333333333,107.9,64.96849999999999,64.97,40918,
a27fc2240a40,B0030,rest,aggregate,medium,10,29,run-sesi-1,1781999588.128,1781999648.470,13.927162500000001,18.1301569,21.825165039999987,687.5957998874363,287,0.01348479999999999,0.009794,0,105.735,107.9,64.97,64.97,41262,
b0793a0d433a,B0046,graphql,partial,low,50,0,run-sesi-1,1781999831.706,1781999892.283,328.263599,458.87233349999997,501.80200362,139.98545017507217,952,0.40045434999999996,0.272872,0,100.90819672131148,102.9,74.63262295081967,74.71,8428,
a3bda93487aa,B0046,graphql,partial,low,50,1,run-sesi-1,1781999892.286,1781999952.864,318.8272975,441.21076635,497.470865,142.1254483728303,952,0.3979135,0.2768565,0,101.80000000000001,102.9,74.673,74.74,8558,
33e6887c20ba,B0046,graphql,partial,low,50,2,run-sesi-1,1781999952.868,1782000013.300,317.199076,446.72666699999996,498.4692095799999,140.84819741177316,952,0.4093526,0.281826,0,101.21833333333333,102.9,74.78150000000001,74.79,8463,
03f82ef52126,B0046,graphql,partial,low,50,3,run-sesi-1,1782000013.304,1782000073.865,317.514179,441.71647360000003,514.9185782800001,140.489483476382,952,0.40723,0.279339,0,101.3377049180328,102.9,74.75918032786885,74.83,8457,
d487087aa003,B0046,graphql,partial,low,50,4,run-sesi-1,1782000073.869,1782000134.525,312.246809,441.6478109,504.32861514,141.96389637962386,952,0.4103108,0.283804,0,100.69344262295083,102.9,74.82180327868852,74.85,8559,
